id,name,category,price,quantity,description
42,Scarf,Accessories,12.99,180,"Soft and lightweight scarf made from premium quality fabric"
43,Microwave,Appliances,79.99,40,"Compact microwave oven with multiple cooking presets and digital display"
44,Pencil Case,Stationery,3.99,300,"Durable pencil case with zipper closure and multiple compartments"
45,Digital Camera,Electronics,249.99,50,"High-resolution digital camera with optical zoom and image stabilization"
46,External Hard Drive,Electronics,79.99,80,"Portable external hard drive with USB 3.0 connectivity and large storage capacity"
47,Couch,Furniture,399.99,30,"Comfortable couch with plush cushions and sturdy wooden frame"
48,Plant Pot,Home Decor,8.99,250,"Decorative plant pot made from ceramic material with a glossy finish"
49,Shorts,Apparel,14.99,180,"Casual shorts made from breathable fabric and featuring an elastic waistband"
50,Wallet,Accessories,19.99,120,"Stylish wallet with multiple card slots and a zippered coin pocket"
51,Laptop,Electronics,999.99,50,"High-performance laptop with Intel Core i7 processor and 16GB RAM"
52,Laptop,Electronics,1099.99,40,"Slim and lightweight laptop with long battery life and fast SSD storage"
53,Laptop,Electronics,1199.99,30,"Gaming laptop with dedicated NVIDIA graphics card and RGB keyboard"
54,Phones,Electronics,699.99,100,"Latest smartphone model with 6.5-inch OLED display and dual-camera setup"
55,Phones,Electronics,799.99,90,"Flagship smartphone with high-resolution display and advanced camera features"
56,Phones,Electronics,899.99,80,"Budget-friendly smartphone with large battery capacity and fast charging"
57,TV,Electronics,799.99,60,"Smart TV with 4K Ultra HD resolution and built-in streaming apps"
58,TV,Electronics,899.99,50,"Curved LED TV with immersive sound quality and HDR support"
59,TV,Electronics,999.99,40,"OLED TV with Dolby Vision and Dolby Atmos for cinematic viewing experience"
60,Sunglass,Accessories,29.99,100,"Polarized sunglasses with UV400 protection and lightweight frame"
61,Sunglass,Accessories,39.99,80,"Designer sunglasses with mirrored lenses and durable acetate frame"
62,Sunglass,Accessories,49.99,70,"Sporty sunglasses with wraparound design and impact-resistant lenses"
63,Dining Table,Furniture,199.99,40,"Rectangular dining table with solid wood construction and extendable leaf"
64,Dining Table,Furniture,249.99,30,"Round dining table with pedestal base and elegant marble top"
65,Dining Table,Furniture,299.99,25,"Outdoor dining table with weather-resistant finish and umbrella hole"
66,Mouse,Electronics,199.99,150,"Premium wireless mouse with ergonomic design, customizable buttons, and smooth scrolling"
67,Mouse,Electronics,299.99,120,"Gaming mouse with customizable RGB lighting and programmable buttons"
68,Mouse,Electronics,499.99,100,"Bluetooth mouse with silent clicking and rechargeable battery"
69,Printer,Electronics,89.99,30,"All-in-one printer with wireless connectivity and automatic document feeder"
70,Printer,Electronics,99.99,25,"Color laser printer with mobile printing capabilities and duplex printing"

